-47,-65,-49,-78,-69,-87,-70,-80,-40,-60,-78,100,-77,-89,-51,-68,-74,-87,-49,-81
-45,-57,-56,-80,-80,-87,-70,-81,-57,-60,-78,100,-77,-92,-56,-58,-66,-80,-65,-72
-47,-66,-50,-77,-68,-87,-70,-79,-42,-61,-81,100,-76,-90,-56,-65,-71,-87,-48,-84
-46,-57,-55,-80,-80,-88,-71,-82,-58,-60,-75,100,-76,-91,-57,-60,-67,-80,-64,-73
-48,-66,-50,-77,-69,-88,-69,-78,-48,-61,-75,100,-76,-89,-51,-66,-73,-87,-48,-84
-46,-57,-56,-77,-80,-88,-71,-81,-59,-61,-79,100,-83,-91,-57,-58,-66,-81,-64,-71
-47,-66,-49,-78,-80,100,-69,-81,-42,-63,-78,100,-77,-90,-50,-68,-73,-86,-48,-85
-45,-57,-55,-81,-80,-87,-70,-82,-53,-61,-78,100,-80,-92,-56,-59,-67,-80,-48,-72
-46,-65,-47,-78,-71,-87,-70,-78,-57,-59,-78,100,-77,-91,-52,-66,-73,-80,-48,-79
-46,-57,-57,-83,-82,-87,-70,-82,-50,-66,-78,100,-80,-91,-55,-59,-68,-82,-63,-74
-49,-70,-47,-72,-73,100,-71,-78,-50,-61,-75,100,-82,100,-49,-75,-70,-83,-48,-72
-50,-62,-49,-73,-78,100,-71,-80,-64,-68,-80,100,-85,100,-58,-62,-73,-87,-56,-72
-47,-66,-47,-71,-73,-93,-74,-76,-53,-63,-74,100,-81,100,-49,-72,-69,-86,-48,-77
-50,-64,-50,-72,-78,-93,-69,-80,-71,-62,-74,-94,-88,100,-54,-61,-76,-86,-57,-75
-48,-66,-48,-71,-73,-93,-74,-77,-54,-60,-74,-94,-88,100,-49,-68,-69,-87,-48,-75
-51,-68,-50,-70,-78,100,-69,-80,-54,-70,-82,-94,-85,100,-55,-62,-77,-85,-61,-70
-49,-67,-48,-73,-75,100,-73,-78,-51,-63,-82,100,-85,100,-49,-66,-72,-86,-50,-76
-51,-62,-49,-70,-76,100,-70,-80,-69,-62,-82,-94,-86,100,-56,-63,-76,-87,-56,-75
-48,-67,-47,-73,-75,100,-73,-76,-53,-61,-82,-94,-86,100,-50,-69,-68,-86,-49,-77
-50,-64,-51,-71,-77,100,-73,-81,-73,-65,-82,-95,-86,100,-53,-66,-74,-88,-57,-77
-55,-66,-58,-61,-72,100,-79,100,-60,-82,-84,100,-90,-95,-61,-56,-68,-86,-63,-77
-48,-64,-48,-72,-70,100,-76,100,-61,-73,-82,100,-90,-93,-49,-62,-65,-86,-54,-79
-58,-66,-56,-64,-72,100,-79,-90,-63,-75,-82,100,-88,-93,-52,-56,-68,-86,-64,-73
-48,-64,-47,-71,-71,100,-76,-90,-60,-71,-83,100,-88,-94,-50,-65,-64,100,-56,-79
-58,-65,-57,-63,-73,100,-79,-90,-60,-75,-82,100,-89,-94,-53,-57,-69,100,-64,-73
-47,-67,-48,-71,-74,100,-76,100,-60,-69,-81,100,-81,-92,-47,-64,-63,100,-57,-71
-61,-63,-55,-64,-73,100,-79,100,-59,-75,-83,100,-86,-92,-57,-57,-69,100,-63,-72
-47,-64,-48,-71,-72,100,-75,100,-56,-69,-80,100,-85,-92,-48,-67,-63,100,-54,-75
-63,-65,-61,-63,-72,100,-81,100,-61,-73,-86,100,-88,-92,-54,-57,-67,100,-63,-71
-49,-65,-49,-76,-73,-91,-75,-89,-62,-67,-84,100,-82,-92,-48,-67,-63,100,-58,-77
-56,-69,-42,-73,-70,-92,-75,-91,-64,-77,-71,-92,-82,-94,-52,-56,-67,-86,-54,-79
-65,-70,-41,-67,-72,-92,-73,-91,-64,-71,-71,-93,-82,-94,-65,-53,-67,-86,-67,-74
-56,-71,-42,-77,-70,-92,-77,-91,-64,-76,-79,-93,100,-94,-55,-55,-69,-86,-56,-75
-62,-71,-41,-67,-72,100,-72,100,-69,-74,-79,-94,-81,100,-59,-52,-67,-86,-63,-74
